row_index,Company,TypeName,Inches,Screen_name,Screen_Pixcel,cpu_brand,cpu_name,cpu_speedGHz,Ram,Memory,Gpu_brand,Gpu_name,OpSys,Weight,Price
1,Apple,Ultrabook,13.3,"IPS Panel Retina Display ",2560x1600,Intel," Core i5 ",2.30,8,"128GB SSD",Intel," Iris Plus Graphics 640",Mac,1.37,71379
2,Apple,Ultrabook,13.3,N/A,1440x900,Intel," Core i5 ",1.80,8,"128GB Flash Storage",Intel," HD Graphics 6000",Mac,1.34,47896
3,HP,Notebook,15.6,"Full HD ",1920x1080,Intel," Core i5 7200U ",2.50,8,"256GB SSD",Intel," HD Graphics 620",N/A,1.86,30636
4,Apple,Ultrabook,15.4,"IPS Panel Retina Display ",2880x1800,Intel," Core i7 ",2.70,16,"512GB SSD",AMD," Radeon Pro 455",Mac,1.83,135195
5,Apple,Ultrabook,13.3,"IPS Panel Retina Display ",2560x1600,Intel," Core i5 ",3.10,8,"256GB SSD",Intel," Iris Plus Graphics 650",Mac,1.37,96096
6,Acer,Notebook,15.6,N/A,1366x768,AMD," A9-Series 9420 3",3.00,4,"500GB HDD",AMD," Radeon R5",Windows,2.1,21312
7,Apple,Ultrabook,15.4,"IPS Panel Retina Display ",2880x1800,Intel," Core i7 ",2.20,16,"256GB Flash Storage",Intel," Iris Pro Graphics",Mac,2.04,114018
8,Apple,Ultrabook,13.3,N/A,1440x900,Intel," Core i5 ",1.80,8,"256GB Flash Storage",Intel," HD Graphics 6000",Mac,1.34,61736
9,Asus,Ultrabook,14.0,"Full HD ",1920x1080,Intel," Core i7 8550U ",1.80,16,"512GB SSD",Nvidia," GeForce MX150",Windows,1.3,79654
10,Acer,Ultrabook,14.0,"IPS Panel Full HD ",1920x1080,Intel," Core i5 8250U ",1.60,8,"256GB SSD",Intel," UHD Graphics 620",Windows,1.6,41026
11,HP,Notebook,15.6,N/A,1366x768,Intel," Core i5 7200U ",2.50,4,"500GB HDD",Intel," HD Graphics 620",N/A,1.86,20987
12,HP,Notebook,15.6,"Full HD ",1920x1080,Intel," Core i3 6006U 2",2.00,4,"500GB HDD",Intel," HD Graphics 520",N/A,1.86,18381
13,Apple,Ultrabook,15.4,"IPS Panel Retina Display ",2880x1800,Intel," Core i7 ",2.80,16,"256GB SSD",AMD," Radeon Pro 555",Mac,1.83,130002
14,Dell,Notebook,15.6,"Full HD ",1920x1080,Intel," Core i3 6006U 2",2.00,4,"256GB SSD",AMD," Radeon R5 M430",Windows,2.2,26581
15,Apple,Ultrabook,12.0,"IPS Panel Retina Display ",2304x1440,Intel," Core M m3 ",1.20,8,"256GB SSD",Intel," HD Graphics 615",Mac,0.92,67261
16,Apple,Ultrabook,13.3,"IPS Panel Retina Display ",2560x1600,Intel," Core i5 ",2.30,8,"256GB SSD",Intel," Iris Plus Graphics 640",Mac,1.37,80908
17,Dell,Notebook,15.6,"Full HD ",1920x1080,Intel," Core i7 7500U ",2.70,8,"256GB SSD",AMD," Radeon R5 M430",Windows,2.2,39694
18,Apple,Ultrabook,15.4,"IPS Panel Retina Display ",2880x1800,Intel," Core i7 ",2.90,16,"512GB SSD",AMD," Radeon Pro 560",Mac,1.83,152274
19,Lenovo,Notebook,15.6,"Full HD ",1920x1080,Intel," Core i3 7100U ",2.40,8,"1TB HDD",Nvidia," GeForce 940MX",N/A,2.2,26587
20,Dell,Ultrabook,13.3,"IPS Panel Full HD / Touchscreen ",1920x1080,Intel," Core i5 8250U ",1.60,8,"128GB SSD",Intel," UHD Graphics 620",Windows,1.22,52161
22,Lenovo,Gaming,15.6,"IPS Panel Full HD ",1920x1080,Intel," Core i5 7300HQ ",2.50,8,"128GB SSD +  1TB HDD",Nvidia," GeForce GTX 1050",Windows,2.5,53227
23,HP,Notebook,15.6,N/A,1366x768,AMD," E-Series E2-9000e ",1.50,4,"500GB HDD",AMD," Radeon R2",N/A,1.86,13746
24,Dell,"2 in 1 Convertible",13.3,"Full HD / Touchscreen ",1920x1080,Intel," Core i5 8250U ",1.60,8,"256GB SSD",Intel," UHD Graphics 620",Windows,1.62,43636
